task,experiment,model,accuracy,f1_macro,f1_weighted,mcc,auroc,auprc,auroc_macro_ovr,auprc_macro_ovr,ece_before,ece_after,brier_before,brier_after,conformal_coverage_90,conformal_avg_set_size_90,conformal_coverage_95,conformal_avg_set_size_95
binary,binary_cnn,cnn,0.7984790874524715,0.7979701646907679,0.7982246260716196,0.5969504725143732,0.8640060735960595,0.8557603947373134,,,0.0291941324567613,0.0319745769065595,0.2937244777451831,0.2936502378191145,0.8904942965779468,1.247148288973384,0.9520912547528516,1.5376425855513307
binary,binary_best_kmer_reliable,5mer_random_forest_calibrated,0.8083650190114069,0.8077726266549723,0.808040420459936,0.6170496299999404,0.8720760403116422,0.85167201566017,,,0.1202631178707224,0.0206888322226658,0.3123531011406844,0.2844695039748562,0.914828897338403,1.3110266159695818,0.976425855513308,1.6555133079847908
sigma,sigma_safe_cnn,cnn,0.4528301886792453,0.3227729199057598,0.46916720651832017,0.19085482017685435,,,0.7077220454012733,0.2973111943317838,0.0792932688780959,0.080222630940416,0.6991088186429069,0.6991882318396547,0.9279588336192108,3.696397941680961,0.9519725557461408,4.156089193825043
sigma,sigma_best_kmer_reliable,3mer_linear_svm_calibrated,0.5849056603773585,0.14331011289935142,0.4509292637211998,0.07683882472319027,,,0.6953613964790722,0.2941730608008483,0.1748435318772421,0.0249467076176574,0.7322793717526098,0.5810886336155869,0.9193825042881648,3.648370497427101,0.9639794168096056,4.427101200686106
