epoch,train_loss,val_loss,val_accuracy,val_f1_macro,learning_rate
1,1.9497775148462366,1.786525698491407,0.21037463976945245,0.10044311322841613,0.001
2,1.7890631039937337,1.7753300464118935,0.45244956772334294,0.18804307356575345,0.001
3,1.753643356429206,1.7607125291219705,0.414985590778098,0.18875135315480093,0.001
4,1.7002179157586745,1.733801921437728,0.3400576368876081,0.230691874617326,0.001
5,1.5857786646595708,1.7191867759660617,0.5072046109510087,0.22691274784298043,0.001
6,1.501038059187524,1.660510028473582,0.43515850144092216,0.2508515661622013,0.001
7,1.3444238612681259,1.771857719600029,0.4092219020172911,0.2775866778699812,0.001
8,1.2695314286667623,1.5600145478069953,0.3919308357348703,0.23783589021248527,0.001
9,1.1182763753113922,1.8235838718991457,0.4783861671469741,0.2542445571857337,0.001
10,1.0374561618875575,1.7014304571261667,0.30547550432276654,0.25452116312158396,0.001
11,0.9532570905891465,1.6945616336652112,0.3861671469740634,0.25490658318849485,0.001
12,0.8343693805329594,1.9491569855027653,0.4553314121037464,0.36511437014141546,0.001
13,0.8119598741884585,1.7353796797458307,0.3659942363112392,0.32002313707199304,0.001
14,0.7543751974164704,1.9884733920138575,0.46397694524495675,0.3411616081616104,0.0005
15,0.6533234204775021,1.9260509244303194,0.484149855907781,0.3716196200338311,0.0005
16,0.614489068661207,2.015471963786254,0.4409221902017291,0.3134080798956977,0.0005
17,0.5762525952892539,1.9742482381870148,0.4783861671469741,0.3919909281990413,0.0005
18,0.5300588569523376,2.0419498609878146,0.5129682997118156,0.3737377691834171,0.0005
