epoch,train_loss,val_loss,val_accuracy,val_f1_macro,learning_rate
1,0.537615442276001,0.48515256279926033,0.7655259822560203,0.7579036059450575,0.001
2,0.4582469069439432,0.4328843109281344,0.8136882129277566,0.8126759448734328,0.001
3,0.41079629685567776,0.4328593020581172,0.8124207858048162,0.8118086176220314,0.001
4,0.3763537715310636,0.5191666084626178,0.7655259822560203,0.7636657432308811,0.001
5,0.32963948353477146,0.4818128648819579,0.7832699619771863,0.7826540820320995,0.001
6,0.27223539585652556,0.49153034390907624,0.8048162230671736,0.8046502205816152,0.001
7,0.22109234009100043,0.5271778847025979,0.7972116603295311,0.7970939951137972,0.0005
8,0.16306073348159375,0.5731372501611407,0.8022813688212928,0.8022734282629929,0.0005
9,0.10236025780601346,0.6262911005165187,0.8136882129277566,0.8133415947148617,0.0005
10,0.06712500517782957,0.7679630153834895,0.8187579214195184,0.816474916921095,0.0005
11,0.07226600750632908,0.7704081953100681,0.8022813688212928,0.8005742135348481,0.0005
