true_label_name,count,accuracy,mean_confidence,mean_entropy,mean_variance,mean_mutual_information
Sigma24,98,0.336734693877551,0.68120795,0.8674512,0.012260922,0.15901771
Sigma28,28,0.14285714285714285,0.58338594,1.0613207,0.014057652,0.18703245
Sigma32,59,0.0847457627118644,0.6729142,0.9028349,0.011589849,0.15722652
Sigma38,38,0.0,0.72430044,0.77864623,0.010123445,0.14018016
Sigma54,20,0.0,0.6557693,0.9210755,0.013904041,0.18466505
Sigma70,340,0.8529411764705882,0.7437442,0.73513097,0.009572534,0.13365035
