experiment,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,mcc,auroc,auprc,auroc_macro_ovr,auprc_macro_ovr
binary_cnn,0.7984790874524715,0.7992304399612894,0.7977219385511326,0.7979701646907679,0.7982246260716196,0.5969504725143732,0.8640060735960595,0.8557603947373134,,
original_sigma_cnn,0.4219554030874786,0.2874563168747966,0.34672325665324116,0.26880706016825157,0.41676591983307654,0.13589400128111215,,,0.6815790899386119,0.3031452072482394
improved_sampler_sigma_cnn,0.14065180102915953,0.14809914009908584,0.3656586988051242,0.17623508255418896,0.06560116578375198,0.1003403218722005,,,0.6625946240096868,0.2894043005686394
safe_f1_selected_sigma_cnn,0.4528301886792453,0.3585290537804624,0.33382008467972385,0.3227729199057598,0.46916720651832017,0.19085482017685435,,,0.7077220454012733,0.2973111943317838
