alpha,confidence_level,qhat,coverage,average_set_size,median_set_size,singleton_rate,empty_set_rate,min_set_size,max_set_size,class_wise_coverage,class_wise_average_set_size
0.1,0.9,0.942396716882612,0.9193825042881647,3.648370497427101,4.0,0.0,0.0,2,6,"{'Sigma24': 0.8979591836734694, 'Sigma28': 0.6785714285714286, 'Sigma32': 1.0, 'Sigma38': 0.5263157894736842, 'Sigma54': 0.5, 'Sigma70': 1.0}","{'Sigma24': 3.704081632653061, 'Sigma28': 4.071428571428571, 'Sigma32': 3.830508474576271, 'Sigma38': 3.6842105263157894, 'Sigma54': 3.85, 'Sigma70': 3.55}"
0.05,0.95,0.9660351668482519,0.9639794168096055,4.427101200686106,4.0,0.0,0.0,2,6,"{'Sigma24': 0.9795918367346939, 'Sigma28': 0.8214285714285714, 'Sigma32': 1.0, 'Sigma38': 0.8421052631578947, 'Sigma54': 0.6, 'Sigma70': 1.0}","{'Sigma24': 4.408163265306122, 'Sigma28': 4.821428571428571, 'Sigma32': 4.593220338983051, 'Sigma38': 4.5, 'Sigma54': 4.75, 'Sigma70': 4.344117647058823}"
