class_name,test_count,coverage_90,coverage_95,average_set_size_90,average_set_size_95
Sigma24,98,0.9489795918367347,0.9897959183673469,3.9693877551020407,4.336734693877551
Sigma28,28,0.7142857142857143,0.7142857142857143,3.357142857142857,3.892857142857143
Sigma32,59,0.8813559322033898,0.9322033898305084,4.220338983050848,4.661016949152542
Sigma38,38,0.868421052631579,0.9210526315789473,3.5526315789473686,4.0
Sigma54,20,0.5,0.65,3.35,4.0
Sigma70,340,0.9764705882352941,0.9852941176470589,3.788235294117647,4.214705882352941
