,precision,recall,f1-score,support
Sigma24,0.3089430894308943,0.3877551020408163,0.3438914027149321,98.0
Sigma28,0.5,0.2857142857142857,0.36363636363636365,28.0
Sigma32,0.19205298013245034,0.4915254237288136,0.2761904761904762,59.0
Sigma38,0.16666666666666666,0.05263157894736842,0.08,38.0
Sigma54,0.29411764705882354,0.25,0.2702702702702703,20.0
Sigma70,0.6893939393939394,0.5352941176470588,0.6026490066225165,340.0
accuracy,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453
macro avg,0.3585290537804624,0.33382008467972385,0.3227729199057598,583.0
weighted avg,0.5183828031912375,0.4528301886792453,0.46916720651832017,583.0
