epoch,train_loss,val_loss,val_accuracy,val_f1_macro,learning_rate
1,1.6834445196905254,1.861728282414527,0.0345821325648415,0.0111731843575419,0.0005
2,1.4592280944188436,1.9947110967608626,0.037463976945244955,0.021534126847219826,0.0005
3,1.3431829375985227,1.9157311985059842,0.069164265129683,0.06054255035347472,0.0005
4,1.2019342334182175,1.9134898642641667,0.05475504322766571,0.047752977549343184,0.0005
5,1.0736640144277503,1.780719669133167,0.08645533141210375,0.09411571656751012,0.0005
6,0.8969964769151476,1.8467235324705713,0.09510086455331412,0.10387829566854989,0.0005
7,0.8244788865984222,1.8194570012326199,0.1037463976945245,0.12931021886196867,0.0005
8,0.7423810699839651,1.8324734800487155,0.09798270893371758,0.12078746972597265,0.0005
9,0.6460454603772104,1.8202096814724484,0.10086455331412104,0.14764528400892038,0.0005
10,0.6042695472269882,1.7885758337438622,0.11527377521613832,0.16489890182636044,0.0005
11,0.5617667318862162,1.7504291094689273,0.11527377521613832,0.15405983478521482,0.0005
12,0.529157750768426,1.7727065488309612,0.15273775216138327,0.1905341807313162,0.0005
13,0.4685673824063054,1.823454666893489,0.12680115273775217,0.15602837646494716,0.0005
14,0.43817129458910153,1.9215402091270908,0.1239193083573487,0.15817614541035677,0.0005
15,0.3777277879508925,1.825806725265657,0.12680115273775217,0.14604300970892267,0.0005
16,0.3994675000508626,1.9391082645493214,0.14697406340057637,0.18266708446923807,0.0005
17,0.3740222655328703,2.039374213397331,0.11239193083573487,0.14588322434067114,0.0005
18,0.3409284758714982,1.9372868455452603,0.17579250720461095,0.21304089787061922,0.0005
19,0.31617597429840655,2.0363496418301583,0.1585014409221902,0.21767080745341616,0.00025
20,0.29835174355977845,2.0621338612064504,0.16138328530259366,0.21460846035314118,0.00025
21,0.27251488507529836,2.1052620641092745,0.17002881844380405,0.2276709963609318,0.00025
22,0.29559116385601186,2.144486736839031,0.14985590778097982,0.2185728776013974,0.00025
23,0.2931201335824566,2.0681032279039324,0.15273775216138327,0.2119637232540458,0.00025
24,0.23456437414810982,2.178138223436449,0.15561959654178675,0.21127015231173804,0.00025
25,0.25424898870197343,2.066382934105843,0.19596541786743515,0.24511436581433488,0.00025
26,0.23825024955066634,2.2353916126987774,0.15561959654178675,0.2017909345670764,0.00025
