task,model,k,class_or_average,precision,recall,f1-score,support
sigma,linear_svm,3,Sigma24,0.37209302325581395,0.32653061224489793,0.34782608695652173,98.0
sigma,linear_svm,3,Sigma28,0.23809523809523808,0.5357142857142857,0.32967032967032966,28.0
sigma,linear_svm,3,Sigma32,0.2558139534883721,0.1864406779661017,0.21568627450980393,59.0
sigma,linear_svm,3,Sigma38,0.125,0.15789473684210525,0.13953488372093023,38.0
sigma,linear_svm,3,Sigma54,0.13725490196078433,0.35,0.19718309859154928,20.0
sigma,linear_svm,3,Sigma70,0.6815068493150684,0.5852941176470589,0.629746835443038,340.0
sigma,linear_svm,3,accuracy,0.4631217838765009,0.4631217838765009,0.4631217838765009,0.4631217838765009
sigma,linear_svm,3,macro avg,0.30162732768587946,0.35697907173574156,0.3099412514820288,583.0
sigma,linear_svm,3,weighted avg,0.5101753567888325,0.4631217838765009,0.47925064760282343,583.0
