class_name,test_count,coverage_90,coverage_95,average_set_size_90,average_set_size_95
Sigma24,98,0.9795918367346939,0.9897959183673469,3.561224489795918,4.1938775510204085
Sigma28,28,0.6785714285714286,0.75,4.035714285714286,4.571428571428571
Sigma32,59,0.8135593220338984,0.8813559322033898,3.76271186440678,4.372881355932203
Sigma38,38,0.6578947368421053,0.7368421052631579,3.1578947368421053,3.8684210526315788
Sigma54,20,0.4,0.45,3.6,4.2
Sigma70,340,0.9764705882352941,0.9941176470588236,3.2147058823529413,3.95
