true_label_name,count,accuracy,mean_confidence,mean_entropy,mean_variance,mean_mutual_information
Sigma24,98,0.37755102040816324,0.34941798,1.545282,0.015616619,0.23577155
Sigma28,28,0.35714285714285715,0.34104872,1.5880884,0.017681146,0.25556487
Sigma32,59,0.5084745762711864,0.3401642,1.5705377,0.015902868,0.24176942
Sigma38,38,0.07894736842105263,0.35774708,1.535086,0.016261144,0.24266694
Sigma54,20,0.2,0.34050125,1.5549229,0.017785227,0.25769106
Sigma70,340,0.49117647058823527,0.3690561,1.517824,0.015193953,0.23009089
