task,experiment,model,k,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,mcc,auroc,auprc,auroc_macro_ovr,auprc_macro_ovr
binary,binary_cnn,cnn,,0.7984790874524715,0.7992304399612894,0.7977219385511326,0.7979701646907679,0.7982246260716196,0.5969504725143732,0.8640060735960595,0.8557603947373134,,
binary,binary_best_kmer,random_forest,5.0,0.8083650190114069,0.809700291920426,0.8074422383423527,0.807739614759805,0.8080147926305098,0.6171383992697126,0.8756266867885398,0.8699660485440992,,
binary,binary_hybrid_cnn_kmer,hybrid_cnn_kmer,5.0,0.7840304182509505,0.7840210406517606,0.7841998546410699,0.783994317892623,0.7840643950587884,0.5682208671572552,0.8533286732062755,0.8591564980997548,,
sigma,sigma_safe_cnn,cnn,,0.4528301886792453,0.3585290537804624,0.33382008467972385,0.3227729199057598,0.46916720651832017,0.19085482017685435,,,0.7077220454012733,0.2973111943317838
sigma,sigma_best_kmer,linear_svm,3.0,0.4631217838765009,0.3016273276858794,0.3569790717357415,0.3099412514820288,0.4792506476028234,0.1916098172358782,,,0.7094612037030457,0.3128478129158826
sigma,sigma_hybrid_cnn_kmer,hybrid_cnn_kmer,3.0,0.5728987993138936,0.32303717155412065,0.2348588587977564,0.23966799258888508,0.5060850146690679,0.16518486966100346,,,0.6843343079763554,0.28747594157052525
