task,model,k,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,mcc,auroc,auprc,auroc_macro_ovr,auprc_macro_ovr
sigma,logistic_regression,3,0.3293310463121784,0.29936169803741003,0.3981126795053436,0.28681652235151334,0.3664723174089929,0.18509675389969005,,,0.7057450907509676,0.3033747470446772
sigma,linear_svm,3,0.4631217838765009,0.30162732768587946,0.35697907173574156,0.3099412514820288,0.47925064760282343,0.19160981723587825,,,0.7094612037030457,0.31284781291588265
sigma,random_forest,3,0.5523156089193825,0.09583333333333333,0.15784313725490196,0.11925925925925925,0.417305126739089,-0.0546262980432842,,,0.6516749517966495,0.23882091715185272
sigma,logistic_regression,4,0.3670668953687822,0.2719564305249909,0.3202920329594817,0.2737568261527418,0.4026093425672573,0.1570184425067628,,,0.6519658607071511,0.25600481959415183
sigma,linear_svm,4,0.42538593481989706,0.2546314172620853,0.2673822695893701,0.2550594170019985,0.450557066712446,0.1413069195638672,,,0.6459470619426314,0.26052591335064573
sigma,random_forest,4,0.5471698113207547,0.0957957957957958,0.15637254901960784,0.11880819366852886,0.4157267840202382,-0.053474079150671205,,,0.6714455307697159,0.25894639323809493
sigma,logistic_regression,5,0.4202401372212693,0.2545805323691141,0.24829392952542303,0.24969389026377456,0.4284850912293338,0.08506053764100455,,,0.6352370701182721,0.25529140029511593
sigma,linear_svm,5,0.3516295025728988,0.20169676602396744,0.21379894509097128,0.2038891875641807,0.3747147035622199,0.03995282620390214,,,0.5859003915472468,0.21879475116072652
sigma,random_forest,5,0.5437392795883362,0.14196966619270093,0.16014778792873083,0.1289633184420637,0.4219905038412642,-0.03684731274889339,,,0.6829619462183868,0.27795949071563214
