,precision,recall,f1-score,support
Sigma24,0.16666666666666666,0.02040816326530612,0.03636363636363636,98.0
Sigma28,0.18,0.6428571428571429,0.28125,28.0
Sigma32,0.14691943127962084,0.5254237288135594,0.22962962962962963,59.0
Sigma38,0.09871244635193133,0.6052631578947368,0.16974169741697417,38.0
Sigma54,0.2962962962962963,0.4,0.3404255319148936,20.0
Sigma70,0.0,0.0,0.0,340.0
accuracy,0.14065180102915953,0.14065180102915953,0.14065180102915953,0.14065180102915953
macro avg,0.14809914009908584,0.3656586988051242,0.17623508255418896,583.0
weighted avg,0.06812792224036068,0.14065180102915953,0.06560116578375198,583.0
