task,experiment,model,k,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,mcc,auroc,auprc,auroc_macro_ovr,auprc_macro_ovr
binary,binary_cnn,binary_cnn,,0.7984790874524715,0.7992304399612894,0.7977219385511326,0.7979701646907679,0.7982246260716196,0.5969504725143732,0.8640060735960595,0.8557603947373134,,
binary,best_kmer_binary_model,random_forest,5.0,0.8083650190114069,0.809700291920426,0.8074422383423527,0.807739614759805,0.8080147926305098,0.6171383992697126,0.8756266867885398,0.8699660485440992,,
sigma,sigma_safe_cnn,sigma_safe_cnn,,0.4528301886792453,0.3585290537804624,0.33382008467972385,0.3227729199057598,0.46916720651832017,0.19085482017685435,,,0.7077220454012733,0.2973111943317838
sigma,best_kmer_sigma_model,linear_svm,3.0,0.4631217838765009,0.30162732768587946,0.35697907173574156,0.3099412514820288,0.47925064760282343,0.19160981723587825,,,0.7094612037030457,0.31284781291588265
