alpha,confidence_level,qhat,coverage,average_set_size,median_set_size,singleton_rate,empty_set_rate,min_set_size,max_set_size,class_wise_coverage,class_wise_average_set_size
0.1,0.9,0.6862518191337585,0.8904942965779468,1.247148288973384,1.0,0.752851711026616,0.0,1,2,"{'Non-Promoter': 0.9198813056379822, 'Promoter': 0.859594383775351}","{'Non-Promoter': 1.2566765578635015, 'Promoter': 1.2371294851794072}"
0.05,0.95,0.8348986804485321,0.9520912547528517,1.5376425855513307,2.0,0.4623574144486692,0.0,1,2,"{'Non-Promoter': 0.9629080118694362, 'Promoter': 0.9407176287051482}","{'Non-Promoter': 1.5519287833827893, 'Promoter': 1.5226209048361934}"
