epoch,train_loss,val_loss,val_accuracy,val_f1_macro,learning_rate
1,1.793453601848932,1.7923663253399411,0.10951008645533142,0.05611966371874658,0.0003
2,1.7756246875833581,1.7850606128874018,0.25936599423631124,0.1427459280294355,0.0003
3,1.7394067873189478,1.7749115197734118,0.3112391930835735,0.19290880788639875,0.0003
4,1.6823282103479644,1.7534083732610477,0.3314121037463977,0.17615274819160587,0.0003
5,1.61723441724424,1.751158437399081,0.2420749279538905,0.14077708006279435,0.0003
6,1.5029653525646822,1.729969331441764,0.41786743515850144,0.2250106298440704,0.0003
7,1.2976444238497886,1.7124330114562505,0.26512968299711814,0.19703813671147366,0.0003
8,1.1207988326932177,1.7416114923933397,0.2881844380403458,0.21438741285899252,0.0003
9,0.9284254172701895,1.827120993254164,0.3688760806916426,0.22597631321259604,0.0003
10,0.7604952519322619,1.8870095602030026,0.3631123919308357,0.25201037094086587,0.0003
11,0.6281043666380423,1.9492944970254595,0.40057636887608067,0.2266140123252399,0.0003
12,0.5369468615378863,2.1946371714732145,0.3285302593659942,0.17697002009361731,0.0003
13,0.43934532624703865,2.1647639054729892,0.521613832853026,0.25528880896297973,0.0003
14,0.35755516680670374,2.320497237983286,0.5331412103746398,0.2661757470030417,0.0003
15,0.2956094891936691,2.3611836069255467,0.5734870317002881,0.2429417007003214,0.0003
16,0.25348151782412587,2.4145842790603638,0.5619596541786743,0.26761708237888865,0.0003
17,0.20377596609386397,2.6677249481080243,0.5821325648414986,0.2552571753755472,0.0003
18,0.16921714588447853,2.7056064877111563,0.5734870317002881,0.25757946084885397,0.0003
19,0.15194390813509623,2.88893561885405,0.5677233429394812,0.21798311609621845,0.0003
20,0.1282970592931465,3.0265496093189337,0.579250720461095,0.23609056196293476,0.0003
21,0.11830122389911134,3.0506658141826004,0.5648414985590778,0.2190174765362735,0.0003
22,0.10354493230949213,2.8702260269555304,0.5706051873198847,0.25050411061174677,0.0003
23,0.10790421383248436,3.3476041146588944,0.5706051873198847,0.2107583774250441,0.0003
24,0.0970535507540644,2.951776113565099,0.5619596541786743,0.25338401235925495,0.00015
25,0.08511505783708007,3.016680681739829,0.5878962536023055,0.2772049701106496,0.00015
26,0.07568113770749833,3.0472144585865033,0.5734870317002881,0.2580408699868111,0.00015
27,0.07013283061484496,3.3813233932088362,0.5734870317002881,0.2289191721309435,0.00015
28,0.08241457505910485,3.0981468642479406,0.5677233429394812,0.2483772335752852,0.00015
29,0.05878471641766804,3.290366049802269,0.5648414985590778,0.21421211355381595,0.00015
30,0.060108573973914725,3.3209272489080512,0.5706051873198847,0.2358091589126072,0.00015
31,0.06251220725200794,3.3339340693668946,0.5706051873198847,0.23002120569090093,0.00015
32,0.06670125653438362,3.3794222462074215,0.5734870317002881,0.2346900146923594,0.00015
33,0.05519508501445806,3.3964447727808005,0.5677233429394812,0.24186735012370206,7.5e-05
34,0.05041482004762432,3.4185290618313835,0.5677233429394812,0.21378534938879765,7.5e-05
35,0.05404496630768717,3.5146332288681603,0.5706051873198847,0.22213280964559737,7.5e-05
36,0.0521496523309637,3.5180903504836114,0.5677233429394812,0.22983620660868645,7.5e-05
37,0.05173960184149536,3.3955854469486204,0.5763688760806917,0.24504630714450445,7.5e-05
38,0.047074550893847586,3.4828174416544804,0.579250720461095,0.2442236224286413,7.5e-05
39,0.05628546811640263,3.4091646788099657,0.579250720461095,0.25754946777523724,7.5e-05
40,0.04725264911022451,3.593916963088066,0.5706051873198847,0.2261909966931868,7.5e-05
