epoch,train_loss,val_loss,val_accuracy,val_f1_macro,learning_rate
1,1.9107014158625661,1.7935584883181437,0.22478386167146974,0.12643403932368202,0.0003
2,1.7456909939094827,1.7764232395705297,0.30547550432276654,0.14665536616756128,0.0003
3,1.7083824631608562,1.7625871168433418,0.3573487031700288,0.2048829938364822,0.0003
4,1.6709214757989954,1.748228948466716,0.3170028818443804,0.20603512560493378,0.0003
5,1.5633606951913717,1.7271352573499212,0.3285302593659942,0.22460978597023476,0.0003
6,1.492085674073961,1.7187906101732502,0.2680115273775216,0.2022604121250028,0.0003
7,1.4081602561621018,1.7242512826617238,0.3515850144092219,0.2248906648329134,0.0003
8,1.3436430392441927,1.7155676406810882,0.3659942363112392,0.21876986736248205,0.0003
9,1.2064415649131492,1.7460409100529783,0.4034582132564842,0.22080359025330562,0.0003
10,1.1198115666707358,1.7277613057183256,0.3227665706051873,0.22177981304895597,0.0003
11,1.0638394135015983,1.71561718571083,0.30835734870317005,0.22582879440496242,0.0003
12,0.9761732011665533,1.7730287523022303,0.3659942363112392,0.22346939517983225,0.0003
13,0.8708171691423581,1.7208847697255247,0.3976945244956772,0.26416597076583775,0.0003
14,0.8050631749777146,1.8537216743062483,0.4783861671469741,0.23331524893505617,0.0003
15,0.73298277972657,1.9068735044352947,0.44668587896253603,0.22892985151049663,0.0003
16,0.6880536600395485,1.8672223798823289,0.4034582132564842,0.25120768293874024,0.0003
17,0.6575934106920972,1.7844082079291,0.42363112391930835,0.29401963384106633,0.0003
18,0.5873502790192027,1.8325823552326785,0.43804034582132567,0.2669313974982776,0.0003
19,0.5397639276068887,2.036625724017448,0.4899135446685879,0.2535582718019871,0.0003
20,0.5160169230567084,1.9516783004535379,0.49855907780979825,0.28236753819152444,0.0003
21,0.5077606923786211,2.026588270574894,0.49279538904899134,0.26530309849545103,0.0003
22,0.4329292110454889,2.042980773648199,0.4755043227665706,0.24319562608509915,0.0003
23,0.4375413316267508,1.988264332930705,0.5273775216138329,0.2826781765075369,0.0003
24,0.38145872170542494,2.16062713906126,0.5446685878962536,0.28524784648354445,0.0003
25,0.384340966704451,2.1891150251245635,0.547550432276657,0.2677437359939321,0.0003
26,0.3464928075855161,2.204959298760472,0.48703170028818443,0.25173508408802525,0.0003
27,0.3086861051895,2.2628864231989088,0.5648414985590778,0.2938894658121732,0.0003
28,0.34057572292692867,2.2024103653877543,0.5389048991354467,0.28245862447543124,0.00015
29,0.29776820257122133,2.2957112699832973,0.547550432276657,0.25667003498718705,0.00015
30,0.2897825798134745,2.3753863143646066,0.5677233429394812,0.27705287191279654,0.00015
31,0.25355767372213767,2.3955525503378436,0.5706051873198847,0.281809975763355,0.00015
32,0.2531295970634178,2.3024613503420386,0.5619596541786743,0.2801823805479505,0.00015
33,0.2549442620189102,2.302892857738462,0.5677233429394812,0.281967111148583,0.00015
34,0.2314857612421483,2.3901330411262403,0.547550432276657,0.23240855420876416,0.00015
35,0.23520451256154495,2.281562038045108,0.5417867435158501,0.2684969667803066,0.00015
36,0.21465725265903238,2.3821259843512985,0.5648414985590778,0.2551683838649248,0.00015
37,0.22404396508210972,2.589388576983031,0.5648414985590778,0.23251724141418606,0.00015
