task,model,k,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,mcc,auroc,auprc,auroc_macro_ovr,auprc_macro_ovr
binary,logistic_regression,3,0.7992395437262357,0.7996034049588312,0.7986547355069277,0.7988616295939225,0.7990804219863143,0.5982573883035784,0.8661609965882313,0.8578856311709548,,
binary,linear_svm,3,0.8022813688212928,0.8032126644162496,0.8014693288028257,0.8017354957830375,0.8019965654969856,0.6046794801416142,0.8661193332006278,0.8576364049399289,,
binary,random_forest,3,0.7954372623574144,0.7966083916083917,0.7945254308688668,0.7947874081435291,0.7950772079956672,0.591130152632339,0.861061860872061,0.8550056995507362,,
binary,logistic_regression,4,0.8,0.7999346850289748,0.7997402982172699,0.7998147746183344,0.7999675855582086,0.5996749517406503,0.870058837961827,0.8589392657842209,,
binary,linear_svm,4,0.8022813688212928,0.8025170891979563,0.8017748603119199,0.801959666731541,0.8021599718062921,0.604291493683907,0.8704384377155503,0.858972930754615,,
binary,random_forest,4,0.8015209125475286,0.8037484140694859,0.8003455746538467,0.800628063858968,0.800962882117178,0.6040844046121183,0.8675671359198582,0.8659769679691289,,
binary,logistic_regression,5,0.755893536121673,0.7558162437724482,0.7555296573880759,0.7556199338964122,0.7558251355653578,0.5113458208511269,0.8309646925936384,0.8232217600786988,,
binary,linear_svm,5,0.749809885931559,0.7496988342569082,0.7494803649712753,0.7495544038331401,0.749755139767612,0.4991791514208721,0.8267034538948322,0.8206175952477419,,
binary,random_forest,5,0.8083650190114069,0.809700291920426,0.8074422383423527,0.807739614759805,0.8080147926305098,0.6171383992697126,0.8756266867885398,0.8699660485440992,,
