epoch,train_loss,val_loss,val_accuracy,val_f1_macro,learning_rate
1,0.5601020717102548,0.4651435651404474,0.7820025348542459,0.7777610375998951,0.0003
2,0.46236673101134923,0.45672215795184573,0.788339670468948,0.7842981254205157,0.0003
3,0.39979389620863875,0.4410945985404862,0.8060836501901141,0.8060038729480206,0.0003
4,0.3223428156064904,0.4472214553519347,0.8149556400506971,0.8149482085025446,0.0003
5,0.24424390404120735,0.6056532222584022,0.752851711026616,0.7411142913391789,0.0003
6,0.1350273733553679,0.5846895744365431,0.7946768060836502,0.7913924794359577,0.0003
7,0.057197408734456355,0.7011281434725144,0.7908745247148289,0.7871768254305589,0.0003
8,0.02205315867195959,0.901744467224005,0.7782002534854245,0.7709898975155949,0.0003
9,0.01149067556809472,0.8017392636705261,0.7984790874524715,0.7977304717542408,0.0003
10,0.011804936490143123,0.9880016438559132,0.7591888466413181,0.7576436580918016,0.0003
11,0.009551401608421103,0.793254049936326,0.8035487959442332,0.8031389593142582,0.0003
12,0.004330034089355689,0.8615704666072425,0.8212927756653993,0.8211272700962304,0.0003
13,0.0030965342206637496,0.9275801608619884,0.8111533586818758,0.8110756671193141,0.0003
14,0.0028873367599495077,0.9416183683506587,0.8124207858048162,0.8119128922105534,0.0003
15,0.001982138658185368,0.9993337578646584,0.8022813688212928,0.8015772707927624,0.0003
16,0.0014694838944073444,1.0025417555421023,0.7984790874524715,0.7980586743933358,0.0003
17,0.0009148734950703447,1.0375064333431017,0.8035487959442332,0.8026917622459533,0.0003
18,0.002276925679863147,1.0725435314674039,0.7984790874524715,0.7984790874524715,0.0003
19,0.0009720756348384463,1.0872410044772844,0.7959442332065906,0.7953643696325615,0.0003
20,0.0007474746064120984,1.0800037077322358,0.7984790874524715,0.7984156188486723,0.00015
21,0.0004458945411581384,1.096780825326047,0.7997465145754119,0.7994369007014608,0.00015
22,0.0004288958304602167,1.112479569038662,0.7997465145754119,0.7993051620215341,0.00015
23,0.0005095080166306023,1.1079188071578476,0.7997465145754119,0.7996045524691358,0.00015
24,0.000316353518017264,1.123815135659676,0.8060836501901141,0.8058028927594145,0.00015
25,0.0006034358427353689,1.1034844772292935,0.7997465145754119,0.7997461928934011,0.00015
26,0.0006926195608684793,1.1440178494338602,0.8010139416983524,0.8002747425497849,0.00015
27,0.0005359932377873717,1.132937089874113,0.7984790874524715,0.7980586743933358,0.00015
