class_name,test_count,precision,recall,f1_score,count,accuracy,mean_confidence,mean_entropy,mean_variance,mean_mutual_information,coverage_90,coverage_95,average_set_size_90,average_set_size_95,difficulty_label
Sigma24,98.0,0.3089430894308943,0.3877551020408163,0.3438914027149321,98,0.3775510204081632,0.34941798,1.545282,0.015616619,0.23577155,1.0,1.0,3.63265306122449,4.081632653061225,Moderate difficulty
Sigma28,28.0,0.5,0.2857142857142857,0.3636363636363636,28,0.3571428571428571,0.34104872,1.5880884,0.017681146,0.25556487,0.6785714285714286,0.6785714285714286,4.071428571428571,4.535714285714286,Moderate difficulty
Sigma32,59.0,0.1920529801324503,0.4915254237288136,0.2761904761904762,59,0.5084745762711864,0.3401642,1.5705377,0.015902868,0.24176942,0.9830508474576272,0.9830508474576272,3.915254237288136,4.440677966101695,Moderate difficulty
Sigma38,38.0,0.1666666666666666,0.0526315789473684,0.08,38,0.0789473684210526,0.35774708,1.535086,0.016261144,0.24266694,0.5,0.7631578947368421,3.763157894736842,4.315789473684211,High difficulty
Sigma54,20.0,0.2941176470588235,0.25,0.2702702702702703,20,0.2,0.34050125,1.5549229,0.017785227,0.25769106,0.75,0.8,4.0,4.2,Moderate difficulty
Sigma70,340.0,0.6893939393939394,0.5352941176470588,0.6026490066225165,340,0.4911764705882352,0.3690561,1.517824,0.015193953,0.23009089,0.976470588235294,0.9852941176470588,3.6205882352941177,4.076470588235294,Lower difficulty
